Minisector,SAI,LEC,Fastest
0,290.17154087778204,300.13141353202616,LEC
1,163.51952479718167,165.0904987880549,LEC
2,167.83602060511885,167.38405228977592,SAI
3,250.5637775304983,247.59002782577778,SAI
4,283.43603818781213,282.40439841693126,SAI
5,241.7346360307046,244.09130963279907,LEC
6,216.8979886295619,216.47539570152958,SAI
7,152.9299165401383,151.74376179732585,SAI
8,230.3718862379203,226.69336437456388,SAI
9,278.9714433981582,278.1489584811428,SAI
10,296.0662266870321,297.1736534358095,LEC
11,305.06937975071907,305.25339564485944,LEC
12,310.1667834896435,307.5219907555556,SAI
13,308.9617857142857,304.3295550338588,SAI
14,131.2147999866019,134.26824416577173,LEC
15,123.15697499207933,124.5100893146181,LEC
16,105.14553618814855,103.0851682934881,SAI
17,235.64791229686858,229.70259011881413,SAI
18,284.6389439858209,284.20913514405873,SAI
19,305.2078424468949,305.96020671331365,LEC
20,315.168385456,315.91512412114287,LEC
21,317.11281252,320.4341891832568,LEC
22,123.70617458305925,127.36576925630808,LEC
23,208.39732321265805,197.48651445681227,SAI
24,268.5417131826985,267.77778037714285,SAI
25,280.5,282.88124992,LEC
