Minisector,BOT,TSU,Fastest
0,292.05621791322244,291.93988909259815,BOT
1,302.73642365549955,301.8946348552109,BOT
2,284.01602118084605,280.67648032484846,BOT
3,103.26461307424297,107.71407018849969,TSU
4,219.29369595282054,214.8843860393211,BOT
5,277.5072794949348,277.03810639294164,BOT
6,212.04589058478382,206.15152001315883,BOT
7,155.4704834441492,153.52280864664223,BOT
8,202.19105492801478,203.9958087036206,TSU
9,214.26402420215874,215.06275004470095,TSU
10,112.0660949303407,111.7917463108583,BOT
11,227.84172305150278,223.46104788212372,BOT
12,116.31394141811255,111.98439970806564,BOT
13,222.6421650918821,223.33075963982685,TSU
14,284.3560185471193,286.48258396998557,TSU
15,207.3343922401229,205.34259365783925,BOT
16,183.90263059591837,187.1868977957672,TSU
17,246.96818422285716,244.50960885856537,BOT
18,190.24305768802563,194.49244743734488,TSU
19,174.10401282425704,170.58194596764727,BOT
20,260.5611274835466,262.9165483849275,TSU
21,289.8506428823189,288.108494660659,BOT
22,164.5896233854678,166.78011846690862,TSU
23,208.96318036565017,205.9568615832749,BOT
24,275.4107135068783,273.68554370178356,BOT
25,293.19791733333335,,BOT
