Minisector,PER,OCO,Fastest
0,301.8379700522637,291.220987705679,PER
1,235.6408148024593,233.42569867543267,PER
2,130.23524491928143,128.54897235392937,PER
3,240.27523485521297,230.7899152647288,PER
4,190.36103622711622,191.66925960097961,OCO
5,239.0869839826601,244.97104344137298,OCO
6,228.34583774265968,229.26293631238096,OCO
7,251.85205317902776,247.8832362168475,PER
8,288.8295206254101,277.5262889885009,PER
9,202.1219533622857,214.0060055629118,OCO
10,201.28629494070768,204.4980911439557,OCO
11,271.45575131026726,264.83078652896967,PER
12,209.82355054730158,208.10815484498318,PER
13,247.8936082864397,245.8614412400657,PER
14,292.0035922577226,288.49471326152513,PER
15,308.1640708864548,299.2515570212346,PER
16,311.13074221954884,294.89078283329195,PER
17,233.21523606185886,233.5232475549912,OCO
18,269.80823626373626,263.93489492289643,PER
19,298.5317615955776,290.7117587500529,PER
20,313.0097865704006,302.49292846149234,PER
21,313.9217843948052,299.5816962881385,PER
22,150.88723235287418,151.86395811521132,OCO
23,228.9064111233221,228.24413076238287,PER
24,285.0985097869597,277.86378633227514,PER
25,295.8750016,288.16875039999996,PER
