Minisector,BOT,NOR,Fastest
0,285.03783059504764,288.95991560638214,NOR
1,164.51712161143539,159.5003371270963,BOT
2,155.0219409027613,152.7308458936063,BOT
3,220.83378230204082,229.00928647068076,NOR
4,280.2687504484848,283.101352408658,NOR
5,284.01840146666666,283.45416496091264,BOT
6,149.16235345053673,146.2125186077602,BOT
7,144.82990567757577,145.2105541099403,NOR
8,145.2354829326257,145.78480068304358,NOR
9,192.76228353960636,184.77898337939152,BOT
10,130.7313900345967,131.92843169675436,NOR
11,122.9382293425685,122.77188609883343,BOT
12,174.28531037877653,170.92223535629947,BOT
13,268.0104169333333,266.68688540613095,BOT
14,285.43985658863744,281.8853422412698,BOT
15,155.9459785738849,151.55783031749587,BOT
16,203.15727536625624,214.4245252345953,NOR
17,183.33177617447566,173.75469543980606,BOT
18,273.0990336976566,271.51190453664594,BOT
19,293.2699529293802,292.1734847030303,BOT
20,308.00122190828546,303.87908661084936,BOT
21,316.7425739468271,310.8364582933333,BOT
22,317.5761056103422,312.63708336,BOT
23,322.77893511111114,314.8287500266666,BOT
24,324.13172607238096,314.065476215873,BOT
25,320.0,308.2833329777778,BOT
