Minisector,RUS,BOT,Fastest
0,286.1290773409524,306.05689298590477,BOT
1,209.0016594901099,213.67613214253677,BOT
2,224.82517247531374,226.9023478866658,BOT
3,270.2026444539362,278.56797861248555,BOT
4,241.16632801009007,252.42172829139892,BOT
5,132.5728226605729,131.4244350495352,RUS
6,214.7672971220202,210.2700285238243,RUS
7,260.81363811935745,255.16470542933845,RUS
8,249.67659992958153,237.3510352578266,RUS
9,235.21552080099192,232.44098008180777,RUS
10,272.75802856412184,273.90761638617283,BOT
11,289.6684348882452,292.7011923466667,BOT
12,301.1664457198746,303.53328061460314,BOT
13,305.85699554971427,309.73146936541355,BOT
14,303.0836169386667,307.32523391369966,BOT
15,257.90606856171183,251.06404748843536,RUS
16,242.25422246345914,234.38082752737654,RUS
17,275.09441922599046,275.8483483173449,BOT
18,289.36938669515524,290.3506003605549,BOT
19,151.74491405335604,154.48890491856352,BOT
20,210.61334680702726,210.85727179880837,BOT
21,185.95859684431016,186.475635443318,BOT
22,139.41316211778752,138.12114716154161,RUS
23,231.95165171315261,238.45382867860587,BOT
24,275.4012193979221,279.00700057371427,BOT
25,,288.73500032,BOT
