Minisector,LEC,VER,Fastest
0,324.0299603809524,332.64282742095236,VER
1,331.98161240684544,337.8900462814815,VER
2,331.5491227508772,339.09999999999997,VER
3,174.86743512595456,165.13425962027543,LEC
4,133.56381961010473,135.53281744253968,VER
5,273.11866254760014,268.13019328003185,LEC
6,305.60666337952034,300.67954545454546,LEC
7,317.9818750933333,307.7076521341483,LEC
8,261.7862830052833,256.7234375,LEC
9,155.19614647999998,152.54419081948745,LEC
10,221.1912122820781,221.2195533202143,VER
11,229.84547634402244,230.98203175724353,VER
12,199.18307398889593,200.2885410712302,VER
13,279.30893783188407,275.2701344132505,LEC
14,313.31337734736843,308.4789792074317,LEC
15,326.2246173536868,319.8962500266667,LEC
16,249.94733201066666,252.4773311936508,VER
17,213.453779566808,217.15659113354363,VER
18,278.4569810562771,278.6846583034574,VER
19,313.2556231763636,310.0359861199641,LEC
20,328.3002844723239,323.4682016481203,LEC
21,297.49345127619046,298.60492421818185,VER
22,210.00829191254215,219.89607144400867,VER
23,274.48162923636363,273.4086358758328,LEC
24,309.99288229469477,307.36150199859355,LEC
