Minisector,LEC,GAS,Fastest
0,282.37971085687803,293.3296253631862,GAS
1,299.570410730284,315.81542425767407,GAS
2,293.9512031924544,304.0803644062338,GAS
3,169.61960263667453,176.4275828362056,GAS
4,216.97183358653174,211.5541738722033,LEC
5,196.67488637288739,195.98405565622323,LEC
6,175.10978268145524,171.45710993054308,LEC
7,199.89491850525727,198.46563091559378,LEC
8,252.26980868002383,251.57295169145166,LEC
9,264.84622327238094,254.910201666023,LEC
10,163.1674900898324,165.357422216895,GAS
11,232.2946842740497,230.0766936483528,LEC
12,111.34401498118586,115.25095738751217,GAS
13,223.74716717489252,221.4016292630666,LEC
14,276.55446844557724,275.16965975983436,LEC
15,293.4332961,285.7009092654546,LEC
16,204.70572119264182,204.78093336304522,GAS
17,184.11337522739078,179.73260135394113,LEC
18,260.6507581554669,265.1303397574051,GAS
19,292.0693109044346,289.3375653117924,LEC
20,303.7369124537987,300.2977712568405,LEC
21,304.92100273724867,302.1551700854422,LEC
22,273.55926440478805,275.1355175520922,GAS
23,113.48025848064648,111.88091918933934,LEC
24,232.41539070476188,232.18679294215752,LEC
25,,266.6937498666667,GAS
