Minisector,SAI,NOR,Fastest
0,272.17129408163174,272.86776714438355,NOR
1,289.1543593155561,292.0264387365086,NOR
2,296.1207687223702,300.33496243775477,NOR
3,127.51456586593315,127.91572275231522,NOR
4,198.84271774022076,192.04383046283908,SAI
5,256.34135076995744,259.7367348714276,NOR
6,137.9074025236084,139.06017263750454,NOR
7,209.18219503745587,206.57701402551882,SAI
8,260.2691827113215,261.2729010074404,NOR
9,281.0676013700984,283.1270459280107,NOR
10,227.4223971052598,234.25051442429304,NOR
11,176.4593927270857,181.32131415071888,NOR
12,196.09369908623805,190.92447943752214,SAI
13,145.00853189133312,141.87412070918253,SAI
14,175.5710948073312,168.4194356527258,SAI
15,158.0859243005374,156.05691819564953,SAI
16,217.9143785188634,218.41536453207928,NOR
17,235.20947304111468,238.74696035533208,NOR
18,240.8154426014327,238.39812037006124,SAI
19,245.53257734740754,245.78525442353134,NOR
20,144.1730223468516,142.82406286046432,SAI
21,132.31239531348194,132.37206992718018,NOR
22,170.7510953365446,170.74086877396877,SAI
23,149.46009258460572,148.60445432611758,SAI
24,233.5954905001954,232.53196882359373,SAI
