Minisector,NOR,ALB,Fastest
0,261.47085352893544,258.1740246414492,NOR
1,133.51817734544218,133.9320509912945,ALB
2,269.11954775254486,268.00521750747447,NOR
3,311.4376052649908,309.5171683911022,NOR
4,311.3550504740135,307.8742237578159,NOR
5,318.5697863936811,317.78046665698497,NOR
6,322.4405493236364,322.77253255286195,ALB
7,322.63138014444445,321.0430673467565,NOR
8,206.7935901084543,191.57892983200182,NOR
9,206.78338295042363,207.45350015392572,ALB
10,182.38227859868888,177.96406827128027,NOR
11,175.07705791865695,175.0844283900235,ALB
12,261.15019059739797,260.9779836585249,NOR
13,279.72437348988717,278.20244247628455,NOR
14,289.9162849608211,282.06329826723714,NOR
15,275.8337330697143,259.4032363085714,NOR
16,183.713801623908,172.73248260407405,NOR
17,200.59279342886174,198.18117856053271,NOR
18,251.33790225710763,248.8701004757964,NOR
19,293.9617247294092,292.67054053265593,NOR
20,313.3696037288312,311.9940183970603,NOR
21,318.01344698181816,317.6453258119658,NOR
22,316.221627015873,314.541430201514,NOR
23,264.7231916551661,238.00058544169312,NOR
24,115.48445805697901,123.73120899390081,ALB
25,231.36249813333333,,NOR
