Minisector,HAM,OCO,Fastest
0,264.72300352016845,259.0615076266282,HAM
1,282.2109843530159,276.405231122963,HAM
2,282.5801551539145,283.6512952013427,OCO
3,127.0925864930773,129.05535885976903,OCO
4,194.55049221016722,184.28932850285716,HAM
5,256.6145671348148,251.63046752,HAM
6,139.3467064394277,137.15619203779806,HAM
7,200.35506285073595,194.5664156251024,HAM
8,256.37709175017545,251.09993624541355,HAM
9,276.81048587555557,274.11073388190476,HAM
10,229.0307597303412,228.689413022167,HAM
11,175.84260146259442,177.50480223536232,OCO
12,175.16073391733008,182.47696464755282,OCO
13,141.04426371285714,138.941198509418,HAM
14,170.77239001128171,163.72962667168676,HAM
15,156.47292830222224,147.9510206793538,HAM
16,213.0750162536332,204.69248991722944,HAM
17,228.1015997279811,228.27897635268008,OCO
18,232.465179078557,228.0874993556375,HAM
19,239.98755291924505,243.19182913673205,OCO
20,145.77837879036414,137.3814428157095,HAM
21,137.54224631476038,140.5892870451202,OCO
22,166.85856419438008,151.7483252549939,HAM
23,151.12187656393266,142.23237630745464,HAM
24,225.30324333718391,215.99457650895238,HAM
25,248.9624992,246.94999893333332,HAM
