Minisector,VER,PER,Fastest
0,248.96537203504053,250.63803089972313,PER
1,130.74571506904428,128.70575894398368,VER
2,263.313430202353,257.54031985401554,VER
3,300.2224474105381,297.80522379792586,VER
4,285.4122232444733,295.85741710512474,PER
5,299.1978317858646,304.7141858105983,PER
6,306.62573037831504,310.01573959969863,PER
7,308.6568517536508,310.2651707821906,PER
8,191.18900468640695,188.48116602081768,VER
9,193.88874493463888,192.31042137657306,VER
10,188.49817851473844,187.45751190266375,VER
11,179.55705752706788,168.44604470702387,VER
12,256.4982778097959,247.59026580025014,VER
13,274.93680380902737,270.2669237794264,VER
14,278.6458159080071,271.670951162524,VER
15,269.05965913867993,272.1064027025725,PER
16,189.39745967001406,180.50124567609686,VER
17,196.09077087754525,177.98300647786624,VER
18,238.55612771581826,231.9004931276551,VER
19,286.300588215805,283.9648265358824,VER
20,307.5706632393143,305.90274386879406,VER
21,313.6654779541201,313.87750630468133,PER
22,312.4621725873593,315.06290749655676,PER
23,247.87704715761117,264.46991426657627,PER
24,114.65024270579626,110.65851032404564,VER
25,225.343752,224.37968840000002,VER
