Minisector,PIA,HAD,Fastest
0,311.9285502630767,315.8428526520357,HAD
1,325.3626397025571,328.39439176388913,HAD
2,330.4895725873555,333.110837301286,HAD
3,309.43756640699905,309.4855260927721,HAD
4,152.04591849456565,156.84439687314566,HAD
5,188.0227116693081,191.91167674949065,HAD
6,214.5399684065483,220.44475462119908,HAD
7,258.64938255530427,261.9279763266943,HAD
8,232.33484158640366,247.73586690583505,HAD
9,152.8992244157811,153.27403672934832,HAD
10,210.2783751525869,213.17430807470532,HAD
11,119.38070922882538,125.7846823025377,HAD
12,233.77940296858242,228.76904986217838,PIA
13,159.53075326930414,165.64276832256667,HAD
14,207.74535627400684,212.43651976079025,HAD
15,217.0384439092769,222.08638405562573,HAD
16,257.11083645873896,265.14979600460873,HAD
17,285.65502311024835,296.66386922139077,HAD
18,139.51376146033414,136.93768452775123,PIA
19,157.29352413215386,156.20639996989047,PIA
20,135.08286824109157,131.34822581833825,PIA
21,223.4232132126051,225.42133183286666,HAD
22,249.57755029659816,249.5223961030973,PIA
23,232.7383211696549,232.2266098502352,PIA
24,281.5413352543797,283.0866425918638,HAD
