Minisector,RAI,LEC,Fastest
0,235.36296355555555,231.10433996645295,RAI
1,285.9067179218574,281.25424764100933,RAI
2,298.0747024761905,294.75971312638086,RAI
3,303.13401794285716,299.70416659393936,RAI
4,273.3605684095014,265.63970073827664,RAI
5,176.21921986499441,168.69417989153183,RAI
6,265.8526292952381,260.46866611559153,RAI
7,283.3672401121329,281.0001983105064,RAI
8,220.61633574421768,214.4655406692983,RAI
9,219.98908190506324,216.14445702030395,RAI
10,189.1076471180375,183.664006126976,RAI
11,227.76682240000002,224.7293199633157,RAI
12,209.40187209750658,201.66261201043812,RAI
13,217.25950703164008,214.1845753444992,RAI
14,223.78642113580247,216.2695993959184,RAI
15,184.58476140698414,183.24656758205393,RAI
16,248.81201518397393,248.6180541777778,RAI
17,291.75102843290045,288.9577309533264,RAI
18,308.57062522666666,304.429223169161,RAI
19,294.6604406428088,293.3631350863342,RAI
20,129.87344524522823,130.86152232772972,LEC
21,167.67634956824543,168.2062565699206,LEC
22,149.76452387164525,146.434775908469,RAI
23,206.77606681123632,205.74397639387863,RAI
24,142.79241348207574,143.5281248796537,LEC
25,,179.65,LEC
