Minisector,NOR,MSC,Fastest
0,274.75472158776336,271.79488722962964,NOR
1,292.9058367216971,291.7916885445614,NOR
2,292.803332418355,290.0239082022511,NOR
3,169.53534308098514,177.85141039881066,MSC
4,116.98481762666768,116.38875102791971,NOR
5,233.83825422593856,233.27624604415985,NOR
6,287.95131092487094,278.31760466161137,NOR
7,303.2100790707644,289.0598064923906,NOR
8,168.38659207687687,174.95661099391324,MSC
9,135.35426136140646,139.93259586197402,MSC
10,245.05446676135824,245.90379766830313,MSC
11,285.3954384484941,283.0615505872132,NOR
12,291.34082536098356,287.38445109682664,NOR
13,266.56930057200776,273.03791138302444,MSC
14,288.3774294634243,291.38252155197694,MSC
15,290.9639130323428,288.18552442096797,NOR
16,236.19751109348337,242.2661847331217,MSC
17,218.60065166766438,220.477716467597,MSC
18,279.8767297423378,272.5845523285096,NOR
19,313.1144119216204,294.5668271432657,NOR
20,317.8472166213244,298.64909384000003,NOR
21,226.61879999577923,231.363345017448,MSC
22,257.3827177491597,250.503181761505,NOR
23,128.3372801363537,130.9144250725906,MSC
24,216.42509125728722,204.2859271361847,NOR
25,,253.35000000000002,MSC
