Minisector,VER,HUL,Fastest
0,279.9849867428572,276.95138717680265,VER
1,125.67383353956306,119.85767289015276,VER
2,167.28920008340825,154.0312369454865,VER
3,215.5117967930736,206.78054970243696,VER
4,165.71398363784868,160.07808659753087,VER
5,238.88372037333335,243.95810490049777,HUL
6,207.94560201407867,234.24623362040523,HUL
7,141.24222453641113,132.41805974639456,VER
8,234.44219336542832,225.86319306666667,VER
9,274.34228158974895,281.5038229325001,HUL
10,282.47476706428574,290.7774880806723,HUL
11,151.7689867604874,145.07131467449778,VER
12,220.67830145108226,213.3867398787879,VER
13,268.889656752381,270.7303023024158,HUL
14,269.1550142277446,262.63380065185186,VER
15,102.32521914499057,98.54246720630812,VER
16,222.32530934168787,212.958575591342,VER
17,271.00343065098036,266.4732603103427,VER
18,289.1372394,299.0377596095238,HUL
19,299.9297061285714,315.7555551288889,HUL
20,304.4377777777778,324.82738072380954,HUL
21,287.7625013333333,292.2376538666667,HUL
22,159.50553583045934,149.31354970597266,VER
23,232.66008799238097,232.33715436780676,VER
24,272.6971373133828,283.8348204190476,HUL
25,,293.32500053333337,HUL
