Minisector,PIA,PER,Fastest
0,274.74411761045195,270.7979968727526,PIA
1,231.90427837121024,241.89671317713575,PER
2,119.00886768097479,118.52441852846188,PIA
3,171.91505484937326,170.38005200701966,PIA
4,187.96168976737326,184.51560203283617,PIA
5,202.27771293735276,196.41062793340308,PIA
6,267.6723217038961,270.213236741938,PER
7,289.2873530729412,298.48190080262475,PER
8,230.37519588431246,224.0288581163448,PIA
9,147.97762899175868,143.91379801822222,PIA
10,123.31038173015763,115.24549326957472,PIA
11,161.5390959678673,150.3827540405092,PIA
12,244.2506344645066,240.12177066888887,PIA
13,149.54353884773107,148.06533765402332,PIA
14,153.75696000694754,146.1483810627285,PIA
15,105.61358544224353,110.12086224861739,PER
16,222.61228442923928,224.697119563421,PER
17,237.1247889760571,230.10181098882677,PIA
18,128.36424733360067,126.2759080738777,PIA
19,241.37993861626376,245.85013094885593,PER
20,278.9152531714286,286.83725668017314,PER
21,193.99942912228215,184.425058341183,PIA
22,156.53450265730612,143.59587665308797,PIA
23,217.89788332603075,210.164406797678,PIA
24,233.02088587202124,222.9183701705785,PIA
25,258.3333333333333,,PIA
