Minisector,HAM,RUS,Fastest
0,261.85743969976176,257.1362515843518,HAM
1,132.0878381482539,125.64276338007923,HAM
2,266.1181029934868,258.78707854008906,HAM
3,308.1028627637607,304.5576116391096,HAM
4,305.56057341177745,308.0780403492675,RUS
5,309.08496736845376,317.16328570148573,RUS
6,312.80523074056,324.42058970812894,RUS
7,315.154040738107,326.03683486188265,RUS
8,201.30410988841024,189.2880746099453,HAM
9,197.97022094498195,190.82044574648666,HAM
10,192.9437229061609,183.7097684632344,HAM
11,171.42271642541883,169.6439719279949,HAM
12,256.9961871256318,250.88983319372002,HAM
13,281.6352277603216,260.93891609790467,HAM
14,282.4149228167706,271.4025777561097,HAM
15,281.7038590041265,270.2312002760427,HAM
16,184.30454749971395,176.59642769661627,HAM
17,196.0188797283236,181.87641703911112,HAM
18,237.50783547120398,225.41690519503697,HAM
19,289.1646064009197,279.72135139121417,HAM
20,313.0059220198496,305.41640773079365,HAM
21,318.8162231204662,314.4179887144577,HAM
22,317.097845160127,313.7851147493878,HAM
23,254.61708976884364,246.92273044686905,HAM
24,109.66547798141383,111.79297569690414,RUS
