Minisector,NOR,SAI,Fastest
0,297.286573708642,303.122000384,SAI
1,155.97438663654546,158.07269432916732,SAI
2,150.2485527414565,154.51417367795378,SAI
3,223.18370721784552,220.2501209701809,NOR
4,286.8079531763809,287.1915086428065,SAI
5,289.5328705580247,299.9351191055901,SAI
6,141.2883083516395,146.62871132698945,SAI
7,140.9644588589051,138.68249155458875,NOR
8,145.2163168254354,153.05127457474535,SAI
9,177.22008172354418,172.92886727693445,NOR
10,132.40599420311503,132.4364748276457,SAI
11,124.62077624798958,126.54441211906224,SAI
12,164.28743871594423,160.39214229702208,NOR
13,269.6175994572481,266.2432021740783,NOR
14,295.5499576801475,294.2663333546667,NOR
15,150.8365288747588,151.0998829046936,SAI
16,211.0936163106397,211.02978003448496,NOR
17,164.39400635027735,162.71095942978874,NOR
18,270.1263108959574,267.48133312000004,NOR
19,297.5316906605714,294.25954771504763,NOR
20,311.6336945785506,308.5904337191963,NOR
21,319.52632576969694,315.731884057971,NOR
22,322.8126669636899,318.03374375232676,NOR
23,332.3437495834268,323.0360660294372,NOR
24,332.9806183377708,324.3235159491336,NOR
25,,324.2916664888889,SAI
