Minisector,RIC,OCO,Fastest
0,330.4401903518286,320.77381928663544,RIC
1,345.77773629059726,329.14311573333333,RIC
2,354.6400595657143,324.9343614060606,RIC
3,214.65101976647406,209.4695682546062,RIC
4,114.06438898316948,113.64418739377729,RIC
5,263.9444697003173,260.9677803604112,RIC
6,301.58909978509445,299.0868602176664,RIC
7,320.01666676363635,311.41994007432567,RIC
8,285.46727838495315,284.49633339733333,RIC
9,145.9950447079028,142.54104409059912,RIC
10,222.1818169717217,222.0879624675249,RIC
11,215.1611975858379,218.22868710263884,OCO
12,196.38648888612022,201.84424783405635,OCO
13,267.0220124222169,265.4896145093676,RIC
14,307.0293545126294,303.57013923174605,RIC
15,322.3994943897445,315.80985405501,RIC
16,264.077931654321,271.7862199647266,OCO
17,200.54355684079223,202.34947839347697,OCO
18,267.34783976296296,268.1930744804432,OCO
19,307.0891075203159,304.40632481508925,RIC
20,322.67673162251083,316.7663043710145,RIC
21,313.73250440082813,310.77024965314763,RIC
22,207.37451375405217,211.43799780866655,OCO
23,259.0996216371178,261.56049054697064,OCO
24,304.11682683076924,301.4238157236141,RIC
25,,315.43333333333334,OCO
