Minisector,PIA,ALO,Fastest
0,301.2524158813096,295.1608776186855,PIA
1,199.62330036145858,205.57159297715967,ALO
2,236.03623348053333,231.70621436695538,PIA
3,279.9132611963709,275.6912539758764,PIA
4,238.31397577885224,243.1329892340765,ALO
5,129.66536719063325,125.79651822589626,PIA
6,223.15131240551764,211.4242085087446,PIA
7,268.9375859063102,261.6223917464965,PIA
8,252.5363116856543,250.91181712563147,PIA
9,250.1593874609072,241.990947733258,PIA
10,280.17433708259745,276.4201978074805,PIA
11,295.01169942689495,290.7432140107727,PIA
12,305.02270921625393,299.02422171485006,PIA
13,309.6212120242424,302.9927579597884,PIA
14,308.41293866666666,303.3552630269006,PIA
15,270.678614040381,257.02398966153845,PIA
16,253.32322842080785,246.23524460390547,PIA
17,283.46486187247166,280.2813767463738,PIA
18,294.40463902056825,291.550386750372,PIA
19,155.3005154443908,173.06923164159238,ALO
20,213.57391159586493,211.7616252401453,PIA
21,188.24514302205293,207.2663800950457,ALO
22,138.31533166975507,136.0925354171548,PIA
23,238.12001956234218,237.04479858556817,PIA
24,284.21977788011844,280.75492080761904,PIA
25,,293.1535712,ALO
