Minisector,VER,KVY,Fastest
0,311.1380532368843,290.9664500516914,VER
1,189.0908344661287,193.1788251836727,KVY
2,230.08973174910642,227.68809272477392,VER
3,284.13381493452766,272.76544071406926,VER
4,233.87765516634457,227.6742561051396,VER
5,125.35531531508714,123.30442220770344,VER
6,212.81180738598158,212.50883061081038,VER
7,259.7853337656143,255.51328265055875,VER
8,204.43982729858473,201.77141133698152,VER
9,211.497043846205,209.06747318962087,VER
10,269.5098530381153,262.793771826051,VER
11,208.75845003299693,201.16684018243816,VER
12,182.30826897815277,184.78035518449468,KVY
13,263.1780182525516,261.59186916335557,VER
14,287.80816379192925,280.0096733151199,VER
15,256.1561058694443,261.06218688296286,KVY
16,244.16574824247246,244.2669073058041,KVY
17,285.0840813521861,273.2544132750217,VER
18,309.02115743772544,286.52205034455244,VER
19,175.41736708218716,181.51553401424385,KVY
20,210.9827736725044,209.52931446214833,VER
21,170.68555118581608,170.94713589290595,KVY
22,141.60050395704204,140.8892008460082,VER
23,239.04898867291197,241.1143455761192,KVY
24,292.13897747146797,282.01382685094507,VER
25,307.75714377142856,,VER
