Minisector,PIA,PER,Fastest
0,270.5912150537143,270.1366549471861,PIA
1,235.96959595158526,257.60300612714866,PER
2,113.8797675976784,119.29852187006854,PER
3,176.74976078845376,154.6030102248112,PIA
4,186.8917391912189,193.64032353921053,PER
5,192.29378191816093,184.55301445097507,PIA
6,264.5373784040528,263.45182369086484,PIA
7,286.9522337509297,284.45385015734917,PIA
8,220.83602260244285,230.0644514989011,PER
9,143.9494825711205,140.85054750356196,PIA
10,110.81475840448813,111.82529381346774,PER
11,148.11728475874483,155.03036871257333,PER
12,245.41913790539684,242.43961015411253,PIA
13,145.21740643997634,145.30445074980022,PER
14,142.39625418176533,150.01941688782986,PER
15,106.52554812039311,110.14484062879072,PER
16,219.2700657928205,226.02730070003508,PER
17,225.24855799961907,225.91098006535455,PER
18,130.60758495244417,133.1332064515934,PER
19,243.18439992864236,245.5902428460421,PER
20,276.09248371726034,276.61335288550265,PER
21,198.279096075368,191.279339451424,PIA
22,141.54976575510656,154.95543325645886,PER
23,210.5106880684643,222.4199824432624,PER
24,226.53775233109752,226.58674228857066,PER
