Minisector,HAM,PIA,Fastest
0,271.04141472986,270.5912150537143,HAM
1,249.73970533554268,235.96959595158526,HAM
2,124.58036117825503,113.8797675976784,HAM
3,175.83932379909936,176.74976078845376,PIA
4,200.813192503343,186.8917391912189,HAM
5,198.76083217934064,192.29378191816093,HAM
6,264.16385618217237,265.1661880386592,PIA
7,286.25505738386323,287.34984543847617,PIA
8,234.88474567063164,220.83602260244285,HAM
9,149.39365033133186,143.12743896608757,HAM
10,118.95664355838258,111.04880095767962,HAM
11,149.51837769420953,148.73838136929615,HAM
12,243.8965771750523,245.41913790539684,PIA
13,158.69037526408013,145.21740643997634,HAM
14,149.1027325092495,142.39625418176533,HAM
15,109.0992811330426,109.02277630757739,HAM
16,220.6960269377778,223.46288354222222,PIA
17,239.95374202675617,220.7676738282086,HAM
18,131.02237026913454,130.59553149805404,HAM
19,239.5227546611456,243.18439992864236,PIA
20,275.20825379905705,276.09248371726034,PIA
21,212.0419904234836,198.279096075368,HAM
22,148.80426376262338,145.3805239485097,HAM
23,217.0637826084022,209.2537286342323,HAM
24,224.24516320792551,229.392773238689,PIA
25,253.83750080000002,,HAM
