Minisector,SAI,STR,Fastest
0,247.03045579130435,243.3331433482664,SAI
1,283.1650904032455,279.7712411885714,SAI
2,172.10626305158405,169.76461784760573,SAI
3,153.96977037577054,153.67878454953296,SAI
4,256.84786439903235,257.146890305641,STR
5,270.52029810457225,260.57716613402596,SAI
6,223.49621379124798,220.41646301209806,SAI
7,202.93445550239738,201.83792328886523,SAI
8,159.13808635501184,155.0096396830784,SAI
9,209.79457359113678,217.46919529244184,STR
10,273.4009427161482,274.9633801662628,STR
11,124.26814229814171,115.849554169496,SAI
12,202.5067891722046,214.92938009411344,STR
13,270.18307157281265,276.30507464177765,STR
14,292.20416914189894,303.2406318115797,STR
15,302.2983332495238,314.8403934222222,STR
16,231.7553519704435,231.91303994934447,STR
17,132.60924538936757,132.79417759234124,STR
18,129.4282168555215,133.17788499264574,STR
19,116.6575243021261,120.63943913271376,STR
20,226.81036905523587,229.4652571583095,STR
21,260.7100314362323,255.58564581661528,SAI
22,231.0529798163811,223.84704744382293,SAI
23,215.12024245486703,198.09977663532217,SAI
24,136.94935101261,135.57165574075532,SAI
25,214.0,,SAI
