Minisector,ALB,NOR,Fastest
0,258.0808854316916,259.2282404345679,NOR
1,226.1593500072111,234.89867658175325,NOR
2,149.94956304060668,148.47121011318671,ALB
3,241.21802816894467,244.41107420341567,NOR
4,272.2127061751636,268.79816661333336,ALB
5,181.26058646219403,187.34119522126196,NOR
6,99.29735293202961,103.17119616214161,NOR
7,133.0560805719951,135.4787504885077,NOR
8,246.6689716993692,248.79465094379756,NOR
9,171.95904014923298,173.56013451209094,NOR
10,180.93238910250548,188.36585525014107,NOR
11,254.39839707545786,256.32489305982904,NOR
12,245.78000239629404,250.73481437377717,NOR
13,262.11712784466795,266.3139999146667,NOR
14,283.2020830222222,284.42688949137886,NOR
15,276.4397094095238,288.6068848231884,NOR
16,139.83819285432108,151.73859756606154,NOR
17,229.78270813933352,234.9691013460291,NOR
18,274.9498279595253,275.48391112306956,NOR
19,285.33695647536234,286.76552890489506,NOR
20,290.74296975581973,288.82442954285716,ALB
21,295.99200999047264,291.10942028985505,ALB
22,146.73492525684605,156.05147073021888,NOR
23,82.06426452462314,84.4145514439393,NOR
24,160.87122439859357,165.39245994822954,NOR
25,,239.7875008,NOR
