Minisector,RUS,TSU,Fastest
0,293.0363146577778,295.2670384952381,TSU
1,182.7785170512221,168.3475586588558,RUS
2,177.6093071883824,181.77508179098314,TSU
3,254.40618434650213,255.8535857932919,TSU
4,284.39000699118924,286.18904177132106,TSU
5,244.81838810408806,259.02640602317257,TSU
6,229.50289136326532,232.50161218486662,TSU
7,159.27521939741678,149.80009920870907,RUS
8,224.12594705306043,225.6285988332558,TSU
9,277.29444321622157,281.1016476888644,TSU
10,300.2754666061327,301.28582984473303,TSU
11,309.85893294623224,312.0976503073291,TSU
12,313.95170949294857,315.80893646019047,TSU
13,310.7742843326984,315.8385805273183,TSU
14,129.27631042951953,125.6223850126068,RUS
15,120.24453821898395,119.9293927131974,RUS
16,101.0863192380507,105.24611470776574,TSU
17,230.89739143981137,234.94047564008775,TSU
18,283.15298736040097,282.51633806736754,RUS
19,303.4184799684177,302.2075235544619,RUS
20,313.03878183683213,312.06329851070706,RUS
21,314.7536039893333,312.293142,RUS
22,135.09760995259384,110.11401350349237,RUS
23,203.984992840946,217.23755628968973,TSU
24,269.6440242982313,274.9989259761039,TSU
