Minisector,PIA,OCO,Fastest
0,282.296441105581,282.9825493127075,OCO
1,298.02225464339267,296.8206221256288,PIA
2,236.75453922203857,247.38406378666707,OCO
3,119.44300951041421,118.50802109586098,PIA
4,132.45805626638557,136.59706608321494,OCO
5,254.9199146955225,252.21032434487984,PIA
6,264.7268761066667,272.3055051561077,OCO
7,121.58218720065825,121.61388235414042,OCO
8,244.88698290715445,246.34082026275019,OCO
9,258.7615845613766,266.0412464397187,OCO
10,218.227270784015,206.3831160728622,PIA
11,140.36130188093017,142.54519495512778,OCO
12,203.45205855256427,202.67432296519902,PIA
13,266.76223325990003,267.4132988677409,OCO
14,117.14021628639948,123.28748026939218,OCO
15,192.95760804503269,185.7077967306808,PIA
16,260.75992379848174,261.08107657259785,OCO
17,290.287520827232,290.13315766510823,PIA
18,302.61809018962964,303.91556020011956,OCO
19,310.19804749321787,310.7664966762812,OCO
20,313.61251321227513,311.9957482376417,PIA
21,152.46468154116062,199.0960159040018,OCO
22,163.7626058650719,130.1929646233429,PIA
23,207.33322824070234,207.88056259781303,OCO
24,238.27661096921153,230.14366681131344,PIA
25,,267.2875005866667,OCO
