Minisector,RIC,TSU,Fastest
0,249.41195591594584,246.83975486802723,RIC
1,285.57604533494793,282.278638620828,RIC
2,184.89130042351354,186.9195695780842,TSU
3,151.0772029810406,146.55303276451522,RIC
4,258.99216983951146,257.9155829196148,RIC
5,265.18197207574985,263.0172152380952,RIC
6,222.39541463175826,210.70887614124746,RIC
7,193.0027705330648,184.06231787089948,RIC
8,147.68432977225672,152.18805360653275,TSU
9,209.24063480424144,202.6182632665716,RIC
10,267.4795264802947,273.6690006186667,TSU
11,122.32796762255921,122.17574604784845,RIC
12,208.12274279589758,196.02453902915352,RIC
13,271.57578000045237,269.56754834285715,RIC
14,290.23758418416486,290.6255439304348,TSU
15,298.223883321297,298.6163820225774,TSU
16,256.2027760197531,256.3820462358974,TSU
17,131.80978847031682,128.11608122069984,RIC
18,124.6517534079332,124.04244975462635,RIC
19,114.48625143506273,117.47859559567392,TSU
20,225.08066575362142,221.07384775472084,RIC
21,247.40971540680272,249.4671483076923,TSU
22,233.5585773435416,240.8865518466167,TSU
23,220.11210298412698,214.765323281106,RIC
24,134.66205008842908,135.08229936062475,TSU
25,216.0750016,211.74285897142855,RIC
