Minisector,NOR,KVY,Fastest
0,306.72548261351227,287.88104144,NOR
1,308.03273700392157,285.2032306882242,NOR
2,157.90196212571385,164.70053716363637,KVY
3,230.32560933333335,227.2509231924395,NOR
4,285.86186896906867,270.22868863901215,NOR
5,312.5110264454188,286.40717577989415,NOR
6,317.9813724235294,291.09517541052634,NOR
7,162.11708404400724,154.6882292148148,NOR
8,138.9958343063063,139.2563986760097,KVY
9,250.20740423645103,249.38134862222225,NOR
10,285.5026787301588,278.07154277064996,NOR
11,291.9230426101824,289.31513926398077,NOR
12,147.2589967361325,150.865993040617,KVY
13,201.36694580763395,201.94772270926438,KVY
14,257.88439428684205,250.56910889244057,NOR
15,203.43016928395062,205.39728893809317,KVY
16,229.93200716511802,222.24392311111112,NOR
17,223.41014391746032,222.00550895148322,NOR
18,251.11243315596735,248.51505050702949,NOR
19,276.9950387989376,273.551826646187,NOR
20,288.60745616842104,285.38233135941095,NOR
21,257.5371877877551,265.7358935085714,KVY
22,220.41051877240398,228.07438326005794,KVY
23,213.73919538818046,208.22689914138894,NOR
24,269.2498252184418,262.3863090285714,NOR
25,,278.19937858180754,KVY
