Minisector,ALO,HUL,Fastest
0,250.07524804883704,254.53630235667583,HUL
1,215.79472929807292,209.12735745952702,ALO
2,205.49907538139107,204.22479793323024,ALO
3,260.3254386767148,260.42943606530616,HUL
4,274.4084656572618,269.09713084803593,ALO
5,289.9088754061396,292.263639729432,HUL
6,158.666559068585,160.0912245599169,HUL
7,182.88894888061932,177.3075146502691,ALO
8,266.6307587885714,269.79810841065023,HUL
9,293.185985852919,305.64152079398497,HUL
10,304.89024152582795,324.1620067152811,HUL
11,302.0160656958543,327.84853704839986,HUL
12,105.56253709619646,120.38349378786437,HUL
13,182.7191637123121,179.28838434947087,ALO
14,266.38650942716504,266.78110510250804,HUL
15,291.7178994329258,294.65040131237726,HUL
16,296.82710974858435,305.18031935562936,HUL
17,188.7264618832462,192.41628891488787,HUL
18,222.09175023039572,215.24206813122495,ALO
19,268.3477383938578,265.7359586969969,ALO
20,148.8760401848277,162.01773115669135,HUL
21,142.30784216098246,146.51340672246408,HUL
22,215.03132802983149,216.6758676521,HUL
23,229.75054732578093,251.63071091748236,HUL
24,161.33576632104118,154.32390881922365,ALO
25,,219.83918276232862,HUL
