Minisector,PER,GAS,Fastest
0,272.16577379047624,268.42409205813465,PER
1,249.0766076815423,249.1041565732531,GAS
2,114.55284815773211,108.59874045616219,PER
3,170.83115102862365,176.4131361035211,GAS
4,183.0159123061074,164.7887121170015,PER
5,212.97462854461529,204.72879474508346,PER
6,269.2895010552281,265.5573084886128,PER
7,286.5388095238095,284.96119046095237,PER
8,202.03090955199283,180.89689353778343,PER
9,131.78019449103044,127.03162898452098,PER
10,126.83557233671195,129.34049903279887,GAS
11,178.96912227509378,180.15192585125928,GAS
12,230.39400851339332,218.89596958932415,PER
13,130.2940756926425,127.64431198144845,PER
14,152.60829391765083,152.24363195675676,PER
15,114.03084531437449,107.35521964587842,PER
16,242.00183151799783,248.27412910005174,GAS
17,150.29706780241045,148.7642047254422,PER
18,188.63354438117446,184.9765045932718,PER
19,126.5587344481744,127.27278636655963,GAS
20,119.70918160819639,129.72547697257642,GAS
21,120.16203431658876,114.05832558333688,PER
22,135.7171240664836,131.95785108120617,PER
23,217.33048562398875,211.48202744526475,PER
24,234.25151454528444,219.55575280274044,PER
25,,254.36180892886546,GAS
