Minisector,RIC,PER,Fastest
0,250.4371454697299,248.27018423807434,RIC
1,278.90870206258506,280.0900508444444,PER
2,160.38526574163728,165.41127123566346,PER
3,162.5754941470231,167.7844040838095,PER
4,257.4213544888889,260.2394515032205,PER
5,263.05132495930735,263.0539116698413,PER
6,214.42109733474427,213.8784100874711,RIC
7,196.22455992510203,194.65263961266646,RIC
8,154.61197094280092,151.72379799622962,RIC
9,220.85216946128037,222.02654249876542,PER
10,274.36845277460316,273.5026074340136,RIC
11,126.24345619084444,122.55601229441466,RIC
12,214.72645099024612,219.6955243230328,PER
13,269.9748382337662,272.43353030912374,PER
14,290.31187170567455,292.71805546666667,PER
15,297.9092040471151,299.07395927157575,PER
16,215.66108676163878,216.23452129415892,PER
17,134.76179448897818,132.24143221281963,RIC
18,135.5713109928383,134.38161225260512,RIC
19,121.38480430087463,121.29296487257487,RIC
20,221.48664667637877,224.2612873425044,PER
21,244.59647108373125,251.9420288463768,PER
22,224.06250153846153,226.14326933333334,PER
23,208.09758854275492,208.4121786402822,PER
24,146.69923522539682,144.73065225266194,RIC
