Minisector,ALB,PIA,Fastest
0,297.02103546908785,294.50059119238097,ALB
1,304.40016664533334,300.8542238857143,ALB
2,221.19510493788437,218.42486077660135,ALB
3,133.59755574493616,140.71947271843138,PIA
4,216.42630981438072,218.84568192372566,PIA
5,158.80995535585632,166.78787562630387,PIA
6,164.78688294304226,167.07318708188384,PIA
7,252.39099482666668,249.3438890311111,ALB
8,280.0840384948067,276.55742627361343,ALB
9,289.6084927152941,285.25320258509805,ALB
10,260.41244246786596,267.96172868436975,PIA
11,234.51321011699056,234.76260863978464,PIA
12,235.0445934167325,242.62730832822407,PIA
13,207.14856256333,213.16230961454548,PIA
14,125.15420571793243,133.81979113330334,PIA
15,137.10136738482365,149.53870775916306,PIA
16,173.05122814423356,154.82524511917055,ALB
17,253.44120645614035,241.80500555465784,ALB
18,248.21826460815268,264.9470422422384,PIA
19,114.12297511774827,123.69734672427906,PIA
20,186.84479847692688,165.71826318222222,ALB
21,196.43395694880238,206.50141483094552,PIA
22,233.65882614141412,218.975628801211,ALB
23,272.5219821920182,257.4098795994227,ALB
24,296.40494022440856,278.87204599427815,ALB
25,306.821316048388,289.251897,ALB
