Minisector,GAS,RAI,Fastest
0,276.9552913612443,269.84850613005887,GAS
1,294.84404154905206,285.4769258789428,GAS
2,292.6953653576609,276.1442499503984,GAS
3,184.90655426355286,176.5316322234857,GAS
4,130.0918009078397,132.02057202090137,RAI
5,242.3211141451966,241.72567818048603,GAS
6,283.9686136152986,278.5520415152221,GAS
7,289.6458339393939,284.04964860947206,GAS
8,178.05682999060787,175.22584898215047,GAS
9,145.27111280438749,148.00393471511595,RAI
10,255.7707521961409,251.30023845712319,GAS
11,286.81778430554107,280.4557019700102,GAS
12,296.86128007213773,290.32746217835495,GAS
13,284.8809027111111,286.2450293705669,RAI
14,300.554035781995,294.35373055485036,GAS
15,299.3732405829982,288.98265032315356,GAS
16,251.5766587401419,254.25163926385426,RAI
17,230.78893331155328,235.7226023162538,RAI
18,282.4349233266519,279.8911779855291,GAS
19,303.43010316294874,297.8528572342857,GAS
20,306.1068588348126,302.3632624207784,GAS
21,231.28913719681134,232.5539440308863,RAI
22,261.6985792227791,257.11230233732806,GAS
23,137.70365276124744,141.57016368838228,RAI
24,218.227157926881,225.5062070526762,RAI
