Minisector,SAI,STR,Fastest
0,302.3381252444444,315.5572717488212,STR
1,206.72065832471893,203.1123252225834,SAI
2,139.08684264450216,138.2492422548382,SAI
3,213.59140309952414,213.58059368123995,SAI
4,156.8784060807867,156.34500313048574,SAI
5,178.45846482577159,179.14286433641024,STR
6,251.17416746666666,250.85224899963833,SAI
7,276.9433895529412,277.4753784491775,STR
8,286.2739999969524,284.6482552892692,SAI
9,257.6512410771242,250.92219801480644,SAI
10,246.17373834370372,242.57828240205365,SAI
11,244.47530675134456,232.30881418023722,SAI
12,204.70802325351067,195.97109438518518,SAI
13,132.69107674979233,129.34358889101583,SAI
14,135.98202454227615,132.8748244575165,SAI
15,182.80646571623933,177.7482619634568,SAI
16,251.0547459261457,257.1658739479253,STR
17,237.36519621544235,223.33258361325989,SAI
18,111.40203741176819,111.59368831870837,STR
19,198.9937512814815,200.3048683250424,STR
20,189.2978776050866,191.73755123429962,STR
21,233.7677795250794,233.14530193309943,SAI
22,262.88987447010743,269.8577486848677,STR
23,284.1784677811305,293.5792205415758,STR
24,297.40348757357776,311.0448863709091,STR
