Minisector,VER,HAD,Fastest
0,306.13239082857143,300.32273880380956,VER
1,162.6716506444325,150.03458094093278,VER
2,218.14796545939393,216.67130941701458,VER
3,288.010226398797,285.9031357962482,VER
4,315.4851876957143,312.5105788464816,VER
5,317.0623536136082,315.55188813333336,VER
6,181.73286145433232,180.77028387858758,VER
7,117.86774049322491,117.28690906338161,VER
8,243.57298893476082,251.7435093832073,HAD
9,296.9601889238627,293.3010666933333,VER
10,301.13392040522314,298.2692815230075,VER
11,138.3265231199098,137.29622848651024,VER
12,180.0357679679597,176.09281849902214,VER
13,244.38953756580017,242.70178399593652,VER
14,193.26295809311048,180.03280994916832,VER
15,194.8853833599856,198.10641447336636,HAD
16,197.55880356204943,195.5393928819625,VER
17,234.82327776867623,233.21246422124742,VER
18,280.6085041861816,280.27232777989417,VER
19,294.0646093242857,299.0486183908122,HAD
20,244.31537323319728,244.96165111862683,HAD
21,205.9960882685972,199.24554930224764,VER
22,187.7940000365393,185.09266962149957,VER
23,270.285089441522,268.3073767170868,VER
24,304.1308874404762,298.53130269908496,VER
