Minisector,STR,KVY,Fastest
0,279.38102085925925,277.0031393643276,STR
1,127.33315087471861,126.67605755577216,STR
2,158.68996702265488,156.30407976644975,STR
3,217.81270349357698,205.895933714941,STR
4,159.6919943767431,163.4759026452599,KVY
5,238.36124604310777,239.79809474501772,KVY
6,205.4281097606625,207.8247280644962,KVY
7,135.61965896246497,134.69611237844774,STR
8,229.62038471619047,229.96995514385966,KVY
9,274.2629986621071,271.1032020084146,STR
10,283.21927213333333,283.1644960268908,STR
11,147.24474928178515,148.1975438468647,KVY
12,219.37454479092972,218.56862216417233,STR
13,268.1468063739909,265.312794829305,STR
14,266.70397123929075,260.6901322105263,STR
15,101.39756577797532,101.69309688665882,KVY
16,210.09014962424243,219.9976189968254,KVY
17,265.7297803819905,266.9345765767006,KVY
18,290.3508028951221,286.4757810666667,STR
19,300.51015866920636,296.1359374,STR
20,300.12083333333334,300.5170042181538,KVY
21,279.3615231372549,275.8261574518518,STR
22,152.87262387036193,154.78828291477646,KVY
23,230.04107006984128,232.47440421587302,KVY
24,271.79073291195715,271.69520502010585,STR
25,280.04285622857145,,STR
