Minisector,BOT,SAI,Fastest
0,308.0934210245614,307.5682278558968,BOT
1,242.08800042378712,240.39563565263092,BOT
2,138.66718343057644,136.1992543633797,BOT
3,217.74047014805433,217.53070359786452,BOT
4,262.44145760000004,262.8750008888889,SAI
5,288.20251017854224,289.9072640723514,SAI
6,302.85984290412847,304.02777783703704,SAI
7,288.3285114385965,293.312497362963,SAI
8,176.57511205700095,178.27445909891628,SAI
9,239.30546436017315,239.57689527272726,SAI
10,271.1699996266667,273.23746926516293,SAI
11,268.0633997754902,270.71195329208473,SAI
12,209.23766677333333,207.30608951794872,BOT
13,128.11436559310997,128.90337606753388,SAI
14,125.78171231316016,123.55627885037914,BOT
15,163.67265768095237,167.42202207142856,SAI
16,119.54178993689065,122.33284820353879,SAI
17,232.24288230559006,228.54166784927537,BOT
18,187.9811324627702,190.29884815448278,SAI
19,158.01287783434344,154.75559335526697,BOT
20,245.18139574696653,244.22713837714284,BOT
21,275.2397551799499,274.0372812912281,BOT
22,291.65172144371826,290.909392,BOT
23,301.269885739855,300.7933824752941,BOT
24,304.95694429629634,305.33070186666663,SAI
25,,306.48333333333335,SAI
