Minisector,SAI,GRO,Fastest
0,255.4722861904664,255.82689650411942,GRO
1,205.34700721881077,205.51900916438476,GRO
2,222.56362795560202,221.91674156047762,SAI
3,259.7814523395795,264.03550767701864,GRO
4,268.50730178136905,275.580843781572,GRO
5,214.40233213941417,212.49988568437834,SAI
6,96.83546126358883,95.75482442149412,SAI
7,193.02665238354678,182.2466195859538,SAI
8,275.4316144341667,278.3237908717687,GRO
9,299.56107898303003,304.1019095296295,GRO
10,310.5108644896948,314.8206207115936,GRO
11,304.7515991219029,304.92913598968363,GRO
12,109.38491154809535,103.06565051639785,SAI
13,215.88253492291423,210.16109986930232,SAI
14,277.4119432847061,276.94313078159695,SAI
15,294.82455785060904,297.890765170555,GRO
16,217.79317730160992,223.57253976409976,GRO
17,126.84396422110584,122.05665426089847,SAI
18,155.33758479776913,148.84547248930846,SAI
19,255.49101802114103,255.79731451253966,GRO
20,153.26144202374795,153.32976471516116,GRO
21,131.22947949314513,125.49441761007417,SAI
22,210.14879322017046,203.32609040473207,SAI
23,198.9797745736135,198.27663212668864,SAI
24,172.12073442019505,160.55403350817875,SAI
25,233.7250048,228.541664,SAI
