Minisector,LEC,BOT,Fastest
0,261.25944484935326,258.12303604317464,LEC
1,136.96930591738519,138.3823811734164,BOT
2,266.78139965170067,261.8569467945739,LEC
3,311.1791717995604,306.62270940661745,LEC
4,308.6541505227278,305.83177106666665,LEC
5,315.6074017391304,312.03033335466665,LEC
6,321.35425358888887,317.6786232115942,LEC
7,320.9215578898551,316.7823200091262,LEC
8,212.16491569273077,213.42921853357248,BOT
9,195.69672506658935,199.42997526007136,BOT
10,194.48099857243108,194.20314860263883,LEC
11,165.287694849806,164.69641518962644,LEC
12,252.45121281845715,249.16240028444446,LEC
13,277.05824167032966,281.8740744691358,BOT
14,281.5925929876543,279.8603395160494,LEC
15,284.7977043162094,282.7233037037037,LEC
16,189.11237577458195,193.98607503157893,BOT
17,194.2130743572997,197.7375267426881,BOT
18,240.2565844313331,242.60599641396826,BOT
19,288.2377145478095,287.67303752273904,LEC
20,311.36799748591426,307.47641352169313,LEC
21,319.7119877067362,313.36160711111114,LEC
22,317.85368735877495,310.67552092063494,LEC
23,272.98152410864196,262.24782156252866,LEC
24,116.90216418679007,116.19523520080776,LEC
