Minisector,KVY,STR,Fastest
0,255.3038784933948,262.14066140164203,STR
1,134.52957766704975,134.17818085779967,KVY
2,265.13593138798973,266.3314360739089,STR
3,309.2301090603175,312.3684397349206,STR
4,307.48578066224974,312.26045959932037,STR
5,314.00431155942033,320.55922603636367,STR
6,318.88300003352384,327.3314236,STR
7,317.6104707532468,326.0949276753623,STR
8,207.24403858320136,193.8997658585407,KVY
9,193.62330440256156,187.58916560380953,KVY
10,191.45601151238094,182.9045093716967,KVY
11,163.40044063111517,165.82770871710377,STR
12,242.95112704165535,252.93723673784797,STR
13,269.92808588641975,277.46183892204584,STR
14,272.338479612284,279.513027112487,STR
15,274.56733381388796,271.6726198000297,KVY
16,186.4420384673016,180.25261880761906,KVY
17,194.25944029489474,189.17619104380952,KVY
18,237.7374121976217,238.16585826038866,STR
19,286.6504811897436,287.30298361546375,STR
20,309.6397409355852,312.96489933168124,STR
21,319.1092013968254,321.58454961821946,STR
22,317.3866829734964,319.79464285714283,STR
23,270.57286513553737,247.5136146184127,KVY
24,114.10258201118224,113.50040101939405,KVY
25,230.06071222857142,,KVY
