Minisector,BOT,VET,Fastest
0,294.47120314687675,288.9560128389312,BOT
1,206.40971223533862,195.31111041645403,BOT
2,233.28909115347557,226.29759110575327,BOT
3,275.60173483689704,270.5656829678134,BOT
4,234.45084369038136,239.26593070292478,VET
5,126.99681048262404,126.75492517796714,BOT
6,217.0109480105721,207.67528715960364,BOT
7,264.71896644401414,256.36042991533924,BOT
8,216.44706283366594,200.8530144789835,BOT
9,208.96900222168662,204.04499159118663,BOT
10,266.14218494960716,261.3865995120102,BOT
11,210.48639129273138,211.75775926153764,VET
12,180.20842886928725,175.4921789388737,BOT
13,263.8660922284017,258.01124815920684,BOT
14,284.2664471578948,280.3606951673824,BOT
15,266.6450798252176,256.41401444848486,BOT
16,245.38603992032998,236.81150490728706,BOT
17,276.1851707407142,271.1498214205581,BOT
18,289.4828792523506,285.05543710844006,BOT
19,182.14878033928554,176.23262885242505,BOT
20,217.85524958708558,208.36367351166453,BOT
21,169.89470264166687,176.44349751347764,VET
22,147.36639134924354,135.36255530888073,BOT
23,243.55691807681993,234.02861540565675,BOT
24,281.9280040720355,275.14627503082517,BOT
25,290.83084508046807,286.1937504,BOT
