Minisector,RAI,SAI,Fastest
0,272.0035715809524,260.659916939346,RAI
1,137.34774477781704,127.14849104761905,RAI
2,187.58442363597885,193.06386710275288,SAI
3,244.21888737457954,244.59407067304798,SAI
4,261.9355166359383,251.31279354048883,RAI
5,183.5554456931743,171.52417871879095,RAI
6,143.16874263459772,142.5532384792381,RAI
7,177.03739844276328,173.22334779649302,RAI
8,101.86926809196763,98.18698563385846,RAI
9,75.04137355276536,74.01992164292609,RAI
10,90.92205229227834,94.25895057961624,SAI
11,167.55453957503417,182.7818885202333,SAI
12,245.12979209403463,247.0269629525611,SAI
13,270.8265695419545,268.8102562461538,RAI
14,277.5648530657508,277.9852563692308,SAI
15,110.52155754285714,109.85397762193955,RAI
16,140.33200407968877,141.13895963556146,SAI
17,193.12688209309542,183.38616124737888,RAI
18,195.18234138910748,192.47486054668974,RAI
19,218.38942774986938,195.4958645979883,RAI
20,128.89096788510062,126.96899393494155,RAI
21,120.81609021968254,106.73046637744005,RAI
22,89.07107711916576,93.55155052707832,SAI
23,190.2494708152048,197.33016966793468,SAI
24,249.96808074285715,250.28396396799465,SAI
