Minisector,VER,RIC,Fastest
0,279.9849867428572,283.5507011226891,RIC
1,125.67383353956306,124.79870251004914,VER
2,167.28920008340825,157.0180807457781,VER
3,215.5117967930736,210.55018909090907,VER
4,165.71398363784868,165.65205815870536,VER
5,238.88372037333335,245.2201393185185,RIC
6,207.94560201407867,218.91497187138017,RIC
7,141.24222453641113,132.98210595775964,VER
8,234.44219336542832,226.73770821333332,VER
9,274.34228158974895,274.5620043174603,RIC
10,282.47476706428574,278.87270643790987,VER
11,151.7689867604874,148.28957351029186,VER
12,220.67830145108226,217.33159202016412,VER
13,268.889656752381,271.4972907381294,RIC
14,269.1550142277446,261.41001857354496,VER
15,102.32521914499057,98.48739181609197,VER
16,222.32530934168787,215.6408684388831,VER
17,271.00343065098036,266.90648183703706,VER
18,289.1372394,293.17284243809524,RIC
19,299.9297061285714,303.6208583671942,RIC
20,304.4377777777778,308.69402838549496,RIC
21,287.7625013333333,283.6148424,VER
22,159.50553583045934,153.4287478995078,VER
23,232.66008799238097,234.19210560000002,RIC
24,272.6971373133828,276.31670975923754,RIC
