Minisector,SAI,RUS,Fastest
0,247.15453861241258,249.22798026869978,RUS
1,286.8930103038233,286.4059398690909,SAI
2,166.4676790421469,162.51021914266875,SAI
3,159.45425995878787,162.09155814837837,RUS
4,255.46152237184265,256.9855771081674,RUS
5,275.1168933555748,270.0832304619706,SAI
6,234.17870463746033,226.86364209723357,SAI
7,208.69356090279544,209.66118245624472,RUS
8,162.79408145855288,164.31109597418077,RUS
9,215.34024954223997,219.99552183709005,RUS
10,271.9968517098901,275.1685119236117,RUS
11,128.85948813232952,131.6383733135771,RUS
12,216.36971739539146,210.27865176771223,SAI
13,275.9495076774603,279.31414626438095,RUS
14,299.8897729015208,301.26951476680796,RUS
15,312.99380770652556,313.12373104,RUS
16,244.99799601730106,246.8527797132446,RUS
17,129.37501696720247,130.93042514834514,RUS
18,132.11086870278956,128.33707062614957,SAI
19,120.82304190717315,119.34781661014937,SAI
20,228.35134019425982,220.808433839095,SAI
21,255.60452180395603,254.0626515801975,SAI
22,244.71109424513332,244.35902265188776,SAI
23,219.1209002454422,218.36502656796534,SAI
24,139.43052260592336,139.68551610140378,RUS
25,219.8,219.51785508571427,SAI
