Minisector,PIA,GAS,Fastest
0,284.1137739585327,293.3296253631862,GAS
1,300.1119387492668,315.81542425767407,GAS
2,300.98560093315194,304.0803644062338,GAS
3,167.4050234373249,176.4275828362056,GAS
4,215.21899693860263,211.5541738722033,PIA
5,193.87882452410383,195.98405565622323,GAS
6,176.4440685472548,171.45710993054308,PIA
7,200.3618644082251,198.46563091559378,PIA
8,251.5896460341073,251.57295169145166,PIA
9,261.82639944134013,253.66537938209623,PIA
10,164.44627722234014,164.59255735203016,GAS
11,235.79776691423092,231.31258343663123,PIA
12,116.59562203200412,115.25095738751217,PIA
13,219.15191510083437,221.4016292630666,GAS
14,278.8287280209078,275.16965975983436,PIA
15,294.3031664090383,285.7009092654546,PIA
16,203.21780776547524,204.78093336304522,GAS
17,177.17476676429183,179.73260135394113,GAS
18,266.33140609652077,265.1303397574051,PIA
19,292.41928271030304,289.63069488954056,PIA
20,304.5466173570695,300.5086825396826,PIA
21,304.94910222388097,302.1026623542857,PIA
22,275.133610092588,270.0778252443999,PIA
23,112.54225713739176,110.79376672121367,PIA
24,233.45107425020282,233.42524505541095,PIA
25,,267.2281248,GAS
