Minisector,HAM,PER,Fastest
0,311.4287035851852,302.15717588148146,HAM
1,238.84523398095237,249.50503154714315,PER
2,136.77136368617246,140.8478406890479,PER
3,220.70328900295917,219.44225071637405,HAM
4,264.64234607835715,265.31432513372295,PER
5,290.7865199327731,290.12499976296294,HAM
6,301.5416391403249,303.66064859259257,PER
7,283.21162487017546,277.0922622678848,HAM
8,179.14597415553226,185.1457819505863,PER
9,242.38645114195012,247.1452399238095,PER
10,271.2674531664722,277.0095116494623,PER
11,260.1344590997494,268.9724078943882,PER
12,209.6225281206707,215.71483323733332,PER
13,127.53898313833815,134.7201892020364,PER
14,128.25770561870797,129.54633823206927,PER
15,161.14922021640746,177.57706868829052,PER
16,127.14192532071772,127.05972984287585,HAM
17,233.30549445145667,232.2361063404939,HAM
18,183.6870655938056,191.0186381453277,PER
19,165.3140739662932,167.4222860810545,PER
20,250.7153419151515,249.16944365714286,HAM
21,279.96299568253966,276.9391696679929,HAM
22,298.0236767177346,291.79421009634,HAM
23,315.083088627451,296.8173941333333,HAM
24,324.1308127398966,300.7029411764706,HAM
25,,300.3666666666667,PER
