Minisector,HAM,GAS,Fastest
0,294.17166097828573,292.04598304409853,HAM
1,305.68451135839604,303.43993961430294,HAM
2,280.86212358978355,268.3818894204982,HAM
3,106.4866737708828,104.35339384391796,HAM
4,218.14593040680273,224.75300350284704,GAS
5,275.0020731652762,275.2152211494424,GAS
6,209.8344094664127,189.6473505794101,HAM
7,152.9648816022641,164.98313106690048,GAS
8,208.51298408063656,210.54922658482852,GAS
9,216.2846658234074,208.80539513852432,HAM
10,114.16470130643204,113.60788303902528,HAM
11,230.066405145984,229.0537698219419,HAM
12,124.98718921203337,115.48521828785663,HAM
13,226.11964656897868,230.5124768347475,GAS
14,279.8386175597976,279.1954225680808,HAM
15,210.11224571094172,200.72352202591802,HAM
16,188.08593351731102,199.39147554974755,GAS
17,250.4576613260606,251.77683743492062,GAS
18,195.77658867543838,180.2736475317412,HAM
19,177.1644052817244,192.8230957137778,GAS
20,264.88924974241024,267.5302820912657,GAS
21,288.92524230966507,291.97581600266665,GAS
22,172.33672619458756,163.98502627785794,HAM
23,215.30399677761318,221.04348935347122,GAS
24,274.7495668713256,273.1307271551294,HAM
