Minisector,HAM,LAT,Fastest
0,265.91659186668693,278.9925795317216,LAT
1,286.2019895750549,302.0761824018546,LAT
2,273.840884352,280.0986230514436,LAT
3,156.70559609881138,146.82908239563858,HAM
4,190.41592393484527,179.54470358910507,HAM
5,173.5457419670366,153.64650005359826,HAM
6,164.14458277812815,152.6191257977631,HAM
7,186.70641059918367,180.6331105383514,HAM
8,238.45875419872237,236.49092017004065,HAM
9,220.68994167816712,233.85089544696223,LAT
10,143.86362031707696,137.98544052601937,HAM
11,221.89487713234666,214.52114936553656,HAM
12,107.05022953163403,100.87716879460666,HAM
13,214.78751030227272,209.8552197968294,HAM
14,263.44992621670457,269.8761467053181,LAT
15,271.82132472573187,279.3758071847776,LAT
16,170.1455945727974,162.24885882241418,HAM
17,157.33457505861523,152.34945701234008,HAM
18,250.60575250668896,254.2324235002422,LAT
19,275.27112630273194,287.5621442807504,LAT
20,290.205843733686,303.37840131444744,LAT
21,278.25555259800234,271.91163241189076,HAM
22,233.45054493563302,226.2405731739517,HAM
23,99.32899661439481,93.9613120784479,HAM
24,220.55253066777072,221.11858327129252,LAT
