Minisector,GAS,LEC,Fastest
0,254.27018480643474,252.50074988543182,GAS
1,218.0830045678109,212.0258958237437,GAS
2,203.65146647188448,202.5440922233683,GAS
3,255.9699875318525,255.18507003486212,GAS
4,271.05985963011057,265.94675467667497,GAS
5,286.350259121552,284.29285335736887,GAS
6,168.15540758840228,160.5757988492473,GAS
7,175.16764205067074,178.3948971494072,LEC
8,265.7741125626498,265.3099492791879,GAS
9,290.3542629811371,290.4129317891674,LEC
10,300.65639520288073,301.3861149990204,LEC
11,300.3596840986575,306.39381397257296,LEC
12,114.83119214210197,113.40387848126787,GAS
13,186.5023852605536,187.099707914389,LEC
14,268.97568756211064,267.8879261972499,GAS
15,292.6262567874599,292.74128138616703,LEC
16,300.80038859007914,302.74246089571096,LEC
17,186.80065416069255,179.5478089460697,GAS
18,223.35146583131046,216.24094432381136,GAS
19,268.308136067599,267.38061621329314,GAS
20,157.14357141404662,158.49884268014418,LEC
21,143.3944220279269,141.61078083211052,GAS
22,217.15088683569567,215.72099784402764,GAS
23,231.69603872504882,232.98461927982927,LEC
24,157.7000854523703,152.10824340553052,GAS
25,225.33333333333334,223.85000000000002,GAS
