Minisector,HAM,STR,Fastest
0,268.6188972382587,268.6990068191893,STR
1,288.0702649595682,288.81747719241616,STR
2,285.11035687597706,296.4671224746032,STR
3,122.68386161699597,121.07985538129036,HAM
4,193.9498658070073,192.83821595482019,HAM
5,248.30218911890947,252.00182205490972,STR
6,140.63845335903954,132.91036332844226,HAM
7,205.75023730009596,195.80553415457615,HAM
8,256.08423708126446,255.1511582498087,HAM
9,276.36547238861175,280.9426708174043,STR
10,229.1383700149403,225.3497311004363,HAM
11,171.52868411155336,169.92763711468663,HAM
12,188.88694381082604,180.09485313316955,HAM
13,142.78692021088915,144.1981423373069,STR
14,180.2881231315849,171.101148182799,HAM
15,158.4575330165451,155.37992093307938,HAM
16,215.4916287621983,212.27939403834142,HAM
17,234.27551981946755,231.29023633645517,HAM
18,237.93815245056206,233.65419982453514,HAM
19,245.08850921675213,228.30590170589053,HAM
20,139.87664950566023,141.43000932541244,STR
21,134.20781364597008,126.61639928612027,HAM
22,169.40187518227665,168.9988820361639,HAM
23,149.27589033419233,144.09266685126406,HAM
24,223.52756287834515,219.2302996554714,HAM
25,,251.25000106666667,STR
