Minisector,SAI,BOT,Fastest
0,248.20513572392156,240.01180866951745,SAI
1,122.87504881596284,124.19664047445886,BOT
2,205.78836035324673,196.90356650136795,SAI
3,246.79142436569416,240.76205428571427,SAI
4,257.75948557206345,250.52888763259259,SAI
5,178.8211110271937,170.01315526656342,SAI
6,143.30059982447972,141.2372479808999,SAI
7,180.56075520241814,180.8085578915065,BOT
8,99.96410281623946,107.01321443684849,BOT
9,73.70771669431117,74.32151932898975,BOT
10,93.74848820142056,91.4983844170426,SAI
11,188.36438835428572,183.06448645614037,SAI
12,244.51975857884335,241.46863397194028,SAI
13,267.2746530466936,264.719845945679,SAI
14,273.5605745964945,269.9830764061538,SAI
15,104.59177569283625,112.26802172210849,BOT
16,143.91039394438096,145.61907888729937,BOT
17,170.07947654451576,177.46268050927318,BOT
18,196.10075270775025,191.53370456810745,SAI
19,206.6817204688889,208.95191088941175,BOT
20,133.74839598142526,131.28717858091147,SAI
21,101.49531482877266,121.13501656221975,BOT
22,100.63146046945847,91.29971380363637,SAI
23,201.0896152735635,187.76694150115733,SAI
24,251.70163443543936,243.21877266531988,SAI
25,263.74999893333336,260.4079372190476,SAI
