Minisector,VER,TSU,Fastest
0,309.906776522857,307.73514290962964,VER
1,192.3871540086286,182.0523303774638,VER
2,111.83961107349316,113.89221935117502,TSU
3,199.86786891185184,202.33837284749313,TSU
4,257.8844521779107,257.3370161149783,VER
5,285.0699269281999,284.9015386978201,VER
6,301.37697323990926,298.515328720084,VER
7,234.9193226393601,232.8134971586056,VER
8,144.58934670099737,146.09162364313866,TSU
9,232.0010943228226,230.97204285778537,VER
10,271.7709642516959,269.58102457102757,VER
11,235.24227184561403,222.4534770991023,VER
12,177.5748213902836,173.92480517549302,VER
13,106.59975437212124,108.31411835772087,TSU
14,108.40515047556364,107.37993254776823,VER
15,142.8635772620683,135.60916440510678,VER
16,111.37516131891694,114.32118911612396,TSU
17,214.04970525044735,202.25587498259642,VER
18,158.06916636185008,160.04442343160585,TSU
19,145.45145383014142,143.28604735459524,VER
20,242.47766592,236.61422048663476,VER
21,274.04577208574887,272.66580548256127,VER
22,292.29752957086833,291.49785248085703,VER
23,300.75064471111114,299.73823580454547,VER
24,307.0591301762238,305.0132352752941,VER
25,309.0,306.0,VER
