Minisector,NOR,LEC,Fastest
0,322.7198438242229,327.97901085832547,LEC
1,331.95845251555556,338.43083070548755,LEC
2,335.92220395789474,339.5117648470588,LEC
3,181.88511458140587,190.14900208716483,LEC
4,141.77033442382694,131.25603888652114,NOR
5,270.63421040730094,269.9052180841819,NOR
6,303.45495280357864,306.15876696188684,LEC
7,313.88761947468674,322.9624872330742,LEC
8,275.9312683552841,284.80366045777777,LEC
9,156.20610623433706,144.66523108151625,NOR
10,231.11877475866874,227.92561054965987,NOR
11,235.38305004217577,236.97428445634247,LEC
12,210.55269320907064,207.32047366836795,NOR
13,273.7729083011142,274.4865797814796,LEC
14,308.4176959077937,310.6556563693424,LEC
15,317.5751653434921,327.5381862327065,LEC
16,275.8742781852923,285.11952428720497,LEC
17,222.46194869085045,215.18641761877552,NOR
18,279.8724390098392,282.3609682095461,LEC
19,309.8641573110809,313.97749675444413,LEC
20,323.20225667669604,329.42253326330945,LEC
21,310.85793554285715,318.6645092469963,LEC
22,224.89703304959014,213.99228364256302,NOR
23,270.51271071560444,266.81726473309095,NOR
24,309.14449538037707,308.29576429654645,NOR
25,316.35338218508616,,NOR
