Minisector,BOT,GAS,Fastest
0,257.1761153393985,257.714438919224,GAS
1,208.75966913015873,202.28362897659343,BOT
2,223.35534905603095,217.76196098064517,BOT
3,261.87216095140417,259.95754589737084,BOT
4,275.51923714194345,274.0316664,BOT
5,216.01151598571428,221.16998762364872,GAS
6,98.72505571417643,95.54694714717789,BOT
7,182.63770858025393,183.31193623063064,GAS
8,268.1969547897436,268.4431344563389,GAS
9,289.66397407241163,288.901295090354,BOT
10,298.3286457777778,295.76524141525846,BOT
11,293.63212435033034,289.0138630812679,BOT
12,113.59869707491023,112.82788892946436,BOT
13,216.56878602380954,215.08050232814878,BOT
14,276.6121187230476,275.71766882563264,BOT
15,293.51689949151137,293.48178053830225,BOT
16,215.21673520612615,221.17237835551384,GAS
17,126.51872246834915,121.6003804818846,BOT
18,152.6045854095238,151.79315487383818,BOT
19,252.17579777593141,253.2774028698413,GAS
20,157.44232600799424,156.09645691511452,BOT
21,131.22720826862306,126.95499940137539,BOT
22,206.94157813290562,202.726750767507,BOT
23,208.07999826673932,204.40992764896654,BOT
24,169.21839404227643,166.72195080348874,BOT
