Minisector,RAI,ALO,Fastest
0,279.29682585396824,277.6751625904762,RAI
1,293.26416699428574,293.04067464126985,RAI
2,243.36596873272583,241.11984024126983,RAI
3,117.0462905127933,112.62886405286187,RAI
4,133.09828580854273,133.6628560535243,ALO
5,251.740356531677,250.23626784733978,RAI
6,263.5928738443832,245.861000064,RAI
7,125.56282805663183,125.0965627695732,RAI
8,246.45046701893986,248.45076728518052,ALO
9,258.62162657460317,264.4613815134199,ALO
10,211.2895001496018,209.67978382222222,RAI
11,141.65242306031746,142.7932268902027,ALO
12,206.1546363319728,212.23692719455784,ALO
13,265.5547053724435,263.8747867881791,RAI
14,118.93570559854575,118.23908271847618,RAI
15,186.92768003555557,192.73612550410508,ALO
16,258.3791346852883,256.37534448603276,RAI
17,292.21044683428573,285.4088720471656,RAI
18,307.59727469874684,299.67969934436087,RAI
19,314.38456334122424,303.1886203524232,RAI
20,315.87060183703704,304.91833333333335,RAI
21,175.5575037365185,166.61517130882888,RAI
22,142.66315804225783,146.56319951145815,ALO
23,202.62915817929826,199.3402776177778,RAI
24,238.89410396312627,234.16547218345485,RAI
25,,265.2625024,ALO
