Minisector,HAD,GAS,Fastest
0,329.9223295608391,327.37472590637805,HAD
1,269.3928677236428,246.64563212010802,HAD
2,130.2882531832612,130.49941424859747,GAS
3,211.48608946405702,216.7134420593027,GAS
4,261.9884124451243,263.1154270190476,GAS
5,286.3573529411765,288.48269469595766,GAS
6,295.16980392784313,298.74712955880125,GAS
7,274.52570461658803,283.98955175195766,GAS
8,169.27684339907836,175.46205450910475,GAS
9,237.60275316772035,240.67970674750103,GAS
10,270.49087962962966,269.94561301124185,HAD
11,260.692796901731,257.9809349029129,HAD
12,203.69496380366147,206.02570325887444,GAS
13,125.74505352623532,119.30700874325025,HAD
14,120.29534641942278,118.8648093476336,HAD
15,161.53511882855614,170.60867732763347,GAS
16,119.78273647500396,122.51077468086507,GAS
17,228.36879818594102,224.5575465683117,HAD
18,195.27359316069075,187.5779653559596,HAD
19,149.93248976439278,159.34755145439019,GAS
20,243.23024175576722,242.76436768128437,HAD
21,271.874448006796,269.8503469203361,HAD
22,289.8262937062937,288.49523172148145,HAD
23,301.5863060608227,299.4073431057198,HAD
24,308.06202387047625,305.4896297125926,HAD
25,,308.0,GAS
