Minisector,PER,VAN,Fastest
0,307.7057984,294.1003607652174,PER
1,156.5273537076302,155.1585739531888,PER
2,158.19164621440038,152.382298332693,PER
3,205.15458817354727,219.23029727422002,VAN
4,282.9925520265895,281.7452349796368,PER
5,298.4981066666667,285.6942017590062,PER
6,151.54578044803733,143.31446668416672,PER
7,137.30993154883672,138.0725601451943,VAN
8,160.45145925436427,155.49762420709527,PER
9,161.5537328557246,168.0763292376307,VAN
10,133.8545862248676,129.8785921985167,PER
11,128.81377505682607,127.42798351288496,PER
12,149.39896949744187,153.30920020042973,VAN
13,261.3037196591618,260.9531528390346,PER
14,289.7543177291007,278.7845239122153,PER
15,153.46746434949338,151.5082868684567,PER
16,214.39428864367818,214.25751471273986,PER
17,151.3615169268511,153.24144191002782,VAN
18,263.523515945736,262.04254009724406,PER
19,291.7107953454545,286.829681068708,PER
20,303.7721874133333,297.2034088242424,PER
21,314.0602101727671,305.73372593089925,PER
22,319.49062517333334,311.31749984,PER
23,324.44358087692115,314.5235389298701,PER
24,322.65947441269844,312.65875013333334,PER
25,,311.0,VAN
