Minisector,RIC,PER,Fastest
0,312.24769650516885,310.036088095577,RIC
1,227.99111393733511,224.3753319290508,RIC
2,139.99060014146605,136.59143792087073,RIC
3,225.35415434909137,220.08861939538127,RIC
4,263.7891964509455,263.8904336620457,PER
5,288.42916613333335,289.39579839278605,PER
6,305.17983521493153,304.9785932388598,RIC
7,264.7485249115767,267.96392730671516,PER
8,174.7436793250928,172.20407566527717,RIC
9,244.976638440051,242.86073678807534,RIC
10,275.1665915707171,274.35787967910636,RIC
11,256.7547177275071,255.15713309035698,RIC
12,202.80995516634582,204.63002503997146,PER
13,127.82095686020484,125.2170618125018,RIC
14,128.73363306580583,126.6086767644553,RIC
15,164.49534611623523,161.9693827227354,RIC
16,129.74863619186064,131.47659662511333,PER
17,227.22567366425474,232.14061058922275,PER
18,181.5198395378797,170.3897962516117,RIC
19,169.39851959909734,174.5590296190835,PER
20,250.82679322411968,250.33938704056618,RIC
21,277.6026940572373,277.1268947473765,RIC
22,293.31852405587057,292.4825390082382,RIC
23,303.2313120604466,305.0586820529052,PER
24,309.26559679912873,310.15149203838627,PER
25,311.0,,RIC
