Minisector,GAS,PER,Fastest
0,265.45119557023065,270.1366549471861,PER
1,248.8948838233766,257.60300612714866,PER
2,118.07919362762733,119.29852187006854,PER
3,163.99719887899337,154.6030102248112,GAS
4,187.7877029169665,195.78282234542465,PER
5,194.71073772464072,182.87162966892174,GAS
6,262.9821328872727,263.45182369086484,PER
7,284.7467412123077,284.45385015734917,GAS
8,226.62803010986667,238.69456199047622,PER
9,140.52844004734078,141.02775329179724,PER
10,113.6596240837577,111.14756171746774,GAS
11,151.2805177468476,152.3197066680859,PER
12,240.53971995844157,241.77304378049888,PER
13,150.43472642573585,151.0022438289724,PER
14,141.79149706244382,149.27636218817756,PER
15,109.5824383173502,107.33843728074872,GAS
16,215.15665183183097,218.38054745328188,PER
17,229.25731395230477,237.53717559926758,PER
18,125.38009753809524,128.65204802037388,PER
19,240.1440981342126,241.3851185926259,PER
20,273.4258487260212,274.45515557829174,PER
21,204.39159026997848,207.73997109568327,PER
22,139.61840604562482,147.07802902720377,PER
23,215.48850996552093,224.29192667275737,PER
24,224.64737253785134,223.987602867085,GAS
