Minisector,HAM,RUS,Fastest
0,269.16840511154084,272.014822944903,RUS
1,290.9562406520301,289.03812139384416,HAM
2,293.48869756564795,294.5694821866667,RUS
3,123.34380866018894,126.39285016594395,RUS
4,189.78634536093088,196.60840051870755,RUS
5,252.13519425777775,254.99527361539714,RUS
6,137.49329485259184,141.4964513476679,RUS
7,204.26793955192747,201.4711015908922,HAM
8,257.6761849619753,257.5935510103258,HAM
9,281.8424574106164,279.20584096349205,HAM
10,232.3810936632847,239.93978825034014,RUS
11,174.72751534370724,178.42259416550263,RUS
12,189.90513385752942,192.80438720412988,RUS
13,140.51331720589346,148.83476707479502,RUS
14,174.42407827716673,179.77843533776206,RUS
15,158.76293083520045,166.95254946679805,RUS
16,215.20923107740262,217.36314765378955,RUS
17,228.21326722010855,240.6992988894331,RUS
18,234.32625022803848,241.43108675221694,RUS
19,236.72241345890512,245.21757939515456,RUS
20,143.2049027427787,149.05023858399053,RUS
21,130.00048391462755,131.8335014446176,RUS
22,164.04450452622223,162.71836517380953,HAM
23,150.2350676625591,155.07990084924754,RUS
24,223.0889970438277,225.3592896016372,RUS
25,,254.0250016,RUS
