Minisector,GAS,RAI,Fastest
0,290.65192311794874,304.43370949849134,RAI
1,159.53220767783338,156.68596143887063,GAS
2,153.04276129317523,147.84038827716276,GAS
3,222.30913978494624,223.18198905717588,RAI
4,283.56116671699755,295.2748015873016,RAI
5,289.73904761904765,297.4453084134911,RAI
6,146.29765568166556,141.21908343466666,GAS
7,141.17949596596677,137.8726892220355,GAS
8,149.17388938809256,145.329416832,GAS
9,179.247765861328,178.5712231219318,GAS
10,134.8563572998248,129.03250029633642,GAS
11,130.6675700579114,125.62987220411684,GAS
12,161.125575110028,159.3830732369044,GAS
13,265.1409968315801,267.6639166976297,RAI
14,290.7210144927536,295.0472075172517,RAI
15,154.66574864071345,150.94911209899865,GAS
16,211.12410071162935,212.35261193004834,RAI
17,167.08995653941153,161.03783954713356,GAS
18,267.60500946867245,270.02542225181423,RAI
19,290.4425843809524,296.77599991466667,RAI
20,302.5915427111111,310.2694652172537,RAI
21,310.2536231884058,320.05013557864294,RAI
22,314.2809028,325.78968253968253,RAI
23,315.7915715795868,335.94575129408906,RAI
24,311.9520832820513,340.7193182060606,RAI
25,,342.32499946666667,RAI
