Minisector,BOT,ALB,Fastest
0,257.5410717688013,257.5192416609524,BOT
1,140.9123370776124,132.3295146881038,BOT
2,261.8569467945739,267.0114555365651,ALB
3,306.62270940661745,311.958000128,ALB
4,305.83177106666665,306.48901512727275,ALB
5,312.03033335466665,314.68516676266665,ALB
6,317.6786232115942,319.82136423108017,ALB
7,316.9902469660447,317.6003696715729,ALB
8,216.1672957965288,211.9084724667006,BOT
9,198.25240702385707,192.86635232470798,BOT
10,195.4543499205199,189.94415635405016,BOT
11,163.98497008029975,165.63638698314483,ALB
12,247.44748414623658,252.43167368878713,ALB
13,281.8740744691358,275.36146882048536,BOT
14,279.8603395160494,279.83960572014655,BOT
15,285.2511230769231,279.67177942941873,BOT
16,194.0387066105263,185.22957259816232,BOT
17,198.45441348854828,194.55941821273183,BOT
18,238.48591043932413,239.46856231250044,ALB
19,286.61967210735446,290.2334993449362,ALB
20,306.89308018835976,312.08710283809523,ALB
21,313.3071428266667,317.79021746086954,ALB
22,310.67552092063494,314.1987849777778,ALB
23,271.58330819679003,264.1656557870671,BOT
24,115.09628635079514,114.12880197193161,BOT
25,226.5749952,226.89582933333332,ALB
