Minisector,VER,STR,Fastest
0,279.9849867428572,279.38102085925925,VER
1,125.67383353956306,127.33315087471861,STR
2,167.28920008340825,158.68996702265488,VER
3,215.5117967930736,217.81270349357698,STR
4,165.71398363784868,159.6919943767431,VER
5,238.88372037333335,238.36124604310777,VER
6,207.94560201407867,205.4281097606625,VER
7,141.24222453641113,135.61965896246497,VER
8,234.44219336542832,229.62038471619047,VER
9,274.34228158974895,274.2629986621071,VER
10,282.47476706428574,283.21927213333333,STR
11,151.7689867604874,148.20813900879148,VER
12,220.67830145108226,221.3432720304762,STR
13,268.889656752381,268.1468063739909,VER
14,269.1550142277446,266.70397123929075,VER
15,102.32521914499057,104.06859107536643,STR
16,222.32530934168787,216.03095100952382,VER
17,271.00343065098036,267.06682628681347,VER
18,289.1372394,290.3508028951221,STR
19,299.9297061285714,300.51015866920636,STR
20,304.4377777777778,300.12083333333334,VER
21,287.7625013333333,274.2303274074074,VER
22,159.50553583045934,153.20095709702858,VER
23,232.66008799238097,231.70062373333334,VER
24,272.6971373133828,272.2491842073246,VER
